id_commune;code_region;population_municipale;population_comptee_a_part;population_total
02770;32;788;20;808
02772;32;160;1;161
02773;32;39;0;39
02774;32;118;1;119
02775;32;936;17;953
02776;32;558;12;570
02777;32;142;7;149
02778;32;97;1;98
02779;32;219;3;222
02780;32;1378;17;1395
02781;32;453;16;469
02782;32;220;2;222
02783;32;138;0;138
02784;32;138;0;138
02785;32;1100;30;1130
02786;32;127;2;129
02787;32;258;2;260
02788;32;460;7;467
02789;32;2587;96;2683
02790;32;238;3;241
02791;32;259;6;265
02792;32;157;7;164
02793;32;119;1;120
02794;32;188;4;192
02795;32;1618;18;1636
02796;32;83;0;83
02797;32;172;1;173
02798;32;1221;19;1240
02799;32;407;9;416
02800;32;313;5;318
02801;32;272;3;275
02802;32;209;0;209
02803;32;146;5;151
02804;32;186;3;189
02805;32;2549;44;2593
02806;32;294;5;299
02807;32;656;24;680
02808;32;289;5;294
02809;32;69;3;72
02810;32;10424;417;10841
02812;32;207;6;213
02813;32;252;8;260
02814;32;162;0;162
02815;32;430;17;447
02816;32;531;6;537
02817;32;82;1;83
02818;32;1166;11;1177
02819;32;116;1;117
02820;32;1688;43;1731
02821;32;680;21;701
02822;32;391;12;403
02823;32;74;0;74
02824;32;375;8;383
02826;32;356;7;363
02827;32;312;5;317
02828;32;94;0;94
02829;32;42;1;43
02830;32;955;16;971
02831;32;379;6;385
02832;32;189;5;194
02833;32;508;7;515
02834;32;169;6;175
03001;84;2904;60;2964
03002;84;309;12;321
03003;84;987;27;1014
03004;84;253;7;260
03005;84;338;3;341
03006;84;633;17;650
03007;84;357;7;364
03008;84;372;14;386
03009;84;135;36;171
03010;84;424;13;437
03011;84;421;9;430
03012;84;323;5;328
03013;84;3953;96;4049
03014;84;136;3;139
03015;84;328;11;339
