voie;id_bien;type_de_voie;id_no_voie
DE DREUX;631;RUE;20
THIERS;632;BD;39
DES JARDINS;633;RUE;5
DE LA MER;634;AV;254
DE LA BENOITE;635;RTE;325
GABRIEL PERI;636;AV;59
DU MARTINET;637;CHE;11
PIERRE BROSSOLETTE;638;RUE;8
ST MARC;639;RES;9001
LANGERON;640;RUE;216
DES ACACIAS;641;BD;65
DE LA XAVEE;642;RUE;58
DE BRASSE;643;RUE;3
DES ANEMONES;644;RUE;8
PAUL FORT;645;RUE;1
DU CHATEAU;646;RUE;101
DU CHATEAU;647;RUE;91
MARTRE;648;RUE;77
PUVIS DE CHAVANNES;649;AV;9
DE LA MUTUALITE;650;RUE;9
DE MONTCHANIN;651;AV;6
DES NOYERS;652;RUE;45
DE STALINGRAD;653;AV;53
MAURICE BERTEAUX;654;BD;17
ALBERT 1ER;655;AV;16
DU MARECHAL LECLERC;656;RUE;149
DE LA PAIX;657;RUE;6
GALANDE;658;RUE;3
DES CARRIERES;659;RUE;9
DU MONT BLANC;660;AV;58
DU RECULET;661;RUE;2
DES MURIERS;662;RUE;2
DU CANADA;663;RUE;5
VICTOR HUGO;664;RUE;54
SADI CARNOT;665;BD;116
DES CAILLADES;666;CHE;640
VILLERMONT;667;AV;29
CYRNOS;668;AV;4
DES ANGLAIS;669;PROM;127
DE   VALBERG;670;AV;65
DES RASCAS;671;CHE;562
DE CANNES;672;RTE;190
DE LA BERMONE;673;AV;280
PIERRE BROSSOLETTE;674;RUE;27
CHARBONNET;675;RUE;4
LA PINEDE;676;;9
LA VOILE D'OC;677;RES;1
HAMEAU DES PECHEURS;678;RES;71
DU LUXEMBOURG;679;RUE;12
VICTOR HUGO;680;QUAI;10
DE SERIGNAN;681;RUE;3
ERNEST SUBILIA;682;AV;5000
AUX HUILES;683;PL;14
GUINTRAND;684;RUE;6
MARECHAL FAYOLLE;685;RUE;29
D ISLY;686;RUE;23
DES MOUSSES;687;RUE;30
NEGRESKO;688;RUE;14
MIREILLE LAUZE;689;BD;116
DE LA TIMONE;690;AV;147
DE SAINT BARNABE;691;AV;36
DU CHALET;692;IMP;2
