code_region;code_departement;id_commune;nom_commune
32;02;02003;ACY
32;02;02004;AGNICOURT ET SECHELLES
32;02;02005;AGUILCOURT
32;02;02006;AISONVILLE ET BERNOVILLE
32;02;02007;AIZELLES
32;02;02008;AIZY JOUY
32;02;02009;ALAINCOURT
32;02;02010;ALLEMANT
32;02;02011;AMBLENY
32;02;02012;AMBRIEF
32;02;02013;AMIFONTAINE
32;02;02014;AMIGNY ROUY
32;02;02015;ANCIENVILLE
32;02;02016;ANDELAIN
32;02;02017;ANGUILCOURT LE SART
32;02;02018;ANIZY LE CHATEAU
32;02;02019;ANNOIS
32;02;02020;ANY MARTIN RIEUX
32;02;02021;ARCHON
32;02;02022;ARCY STE RESTITUE
32;02;02023;ARMENTIERES SUR OURCQ
32;02;02024;ARRANCY
32;02;02025;ARTEMPS
32;02;02026;ARTONGES
32;02;02027;ASSIS SUR SERRE
32;02;02028;ATHIES SOUS LAON
32;02;02029;ATTILLY
32;02;02030;AUBENCHEUL AUX BOIS
32;02;02031;AUBENTON
32;02;02032;AUBIGNY AUX KAISNES
32;02;02033;AUBIGNY EN LAONNOIS
32;02;02034;AUDIGNICOURT
32;02;02035;AUDIGNY
32;02;02036;AUGY
32;02;02037;AULNOIS SOUS LAON
32;02;02038;LES AUTELS
32;02;02039;AUTREMENCOURT
32;02;02040;AUTREPPES
32;02;02041;AUTREVILLE
32;02;02042;AZY SUR MARNE
32;02;02043;BAGNEUX
32;02;02044;BANCIGNY
32;02;02045;BARBONVAL
32;02;02046;BARENTON BUGNY
32;02;02047;BARENTON CEL
32;02;02048;BARENTON SUR SERRE
32;02;02049;BARISIS
32;02;02050;BARZY EN THIERACHE
32;02;02051;BARZY SUR MARNE
32;02;02052;BASSOLES AULERS
32;02;02053;BAULNE EN BRIE
32;02;02054;BAZOCHES SUR VESLES
32;02;02055;BEAUME
32;02;02056;BEAUMONT EN BEINE
32;02;02057;BEAUREVOIR
32;02;02058;BEAURIEUX
32;02;02059;BEAUTOR
32;02;02060;BEAUVOIS EN VERMANDOIS
32;02;02061;BECQUIGNY
32;02;02062;BELLEAU
32;02;02063;BELLENGLISE
32;02;02064;BELLEU
32;02;02065;BELLICOURT
32;02;02066;BENAY
32;02;02067;BERGUES SUR SAMBRE
32;02;02068;BERLANCOURT
32;02;02069;BERLISE
32;02;02070;BERNOT
32;02;02071;BERNY RIVIERE
