Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","528","Pays-Bas (Royaume des)","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","929.6","A","Chiffre officiel"
"PP","Prix à la Production","604","Pérou","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1483.3","A","Chiffre officiel"
"PP","Prix à la Production","608","Philippines","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1828.8","A","Chiffre officiel"
"PP","Prix à la Production","616","Pologne","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","890.6","A","Chiffre officiel"
"PP","Prix à la Production","620","Portugal","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","969.3","A","Chiffre officiel"
"PP","Prix à la Production","634","Qatar","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","6044","A","Chiffre officiel"
"PP","Prix à la Production","498","République de Moldova","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1187.2","A","Chiffre officiel"
"PP","Prix à la Production","214","République dominicaine","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1032.8","A","Chiffre officiel"
"PP","Prix à la Production","642","Roumanie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1066","A","Chiffre officiel"
"PP","Prix à la Production","642","Roumanie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1806.3","A","Chiffre officiel"
"PP","Prix à la Production","646","Rwanda","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3342.9","A","Chiffre officiel"
"PP","Prix à la Production","662","Sainte-Lucie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1874.1","A","Chiffre officiel"
"PP","Prix à la Production","662","Sainte-Lucie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","4318.5","A","Chiffre officiel"
"PP","Prix à la Production","686","Sénégal","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2773.7","A","Chiffre officiel"
"PP","Prix à la Production","688","Serbie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1037.1","A","Chiffre officiel"
"PP","Prix à la Production","703","Slovaquie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","934.7","A","Chiffre officiel"
"PP","Prix à la Production","705","Slovénie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1123.5","A","Chiffre officiel"
"PP","Prix à la Production","144","Sri Lanka","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2560","A","Chiffre officiel"
"PP","Prix à la Production","144","Sri Lanka","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2639.9","A","Chiffre officiel"
"PP","Prix à la Production","756","Suisse","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2460.7","A","Chiffre officiel"
"PP","Prix à la Production","740","Suriname","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2270.4","A","Chiffre officiel"
"PP","Prix à la Production","740","Suriname","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3135.8","A","Chiffre officiel"
"PP","Prix à la Production","203","Tchéquie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","993.7","A","Chiffre officiel"
"PP","Prix à la Production","764","Thaïlande","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1098.4","A","Chiffre officiel"
"PP","Prix à la Production","768","Togo","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2690.9","A","Chiffre officiel"
"PP","Prix à la Production","768","Togo","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2583.3","A","Chiffre officiel"
"PP","Prix à la Production","792","Türkiye","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2877.2","A","Chiffre officiel"
"PP","Prix à la Production","804","Ukraine","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1063.5","A","Chiffre officiel"
"PP","Prix à la Production","858","Uruguay","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1290.3","A","Chiffre officiel"
"PP","Prix à la Production","858","Uruguay","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1318.2","A","Chiffre officiel"
"PP","Prix à la Production","704","Viet Nam","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3852.8","A","Chiffre officiel"
"PP","Prix à la Production","887","Yémen","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3877.1","A","Chiffre officiel"
"PP","Prix à la Production","716","Zimbabwe","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","4000","A","Chiffre officiel"
